Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRI03,OUT045,2241.22
FDN13,OUT035,1551.05
FDF45,OUT027,1493.23
FDU46,OUT035,1461.5
FDB57,OUT049,3374.81
FDV12,OUT049,1968.57
FDQ58,OUT013,2375.31
NCA18,OUT017,1741.47
FDH52,OUT049,781.649
FDM24,OUT018,2589.56
NCP43,OUT027,3553.91
NCO18,OUT019,473.184
FDM32,OUT017,1192.91
NCL07,OUT017,525.183
FDK03,OUT013,4605.54
FDP59,OUT017,1257.43
FDQ24,OUT049,4586.3
FDQ16,OUT018,1262.29
FDU44,OUT013,2544.89
FDH28,OUT010,107.349
FDV28,OUT019,100.336
FDM22,OUT045,1061.02
FDR56,OUT046,2986.58
FDV39,OUT049,3543.99
FDU37,OUT019,231.432
FDQ11,OUT010,811.078
FDX02,OUT045,4384.43
NCS42,OUT018,1244.05
FDY57,OUT027,2966.01
FDB21,OUT049,3775.82
FDE28,OUT017,3263.49
FDQ55,OUT017,3014.68
FDA48,OUT049,3690.2
FDZ19,OUT045,3035.52
NCC43,OUT045,2573.85
NCV18,OUT046,1770.36
NCA42,OUT018,3030.85
FDY45,OUT046,4364.39
NCC30,OUT045,3328.4
FDM57,OUT013,1185.79
FDL09,OUT010,440.16
FDB09,OUT027,4141.41
FDT44,OUT035,2029.96
NCT06,OUT027,3067.54
FDX26,OUT049,4249
FDK32,OUT013,3147.44
DRA12,OUT046,2454.14
FDO46,OUT010,548.486
FDE52,OUT013,1446.05
NCH42,OUT045,3130.53
FDV08,OUT035,558.14
FDB47,OUT018,2798.16
FDC28,OUT010,191.284
FDD22,OUT046,1653.25
FDS07,OUT027,3526.08
DRI13,OUT045,4375.57
FDG32,OUT018,3525.41
FDU14,OUT017,4242.88
FDD28,OUT019,167.382
NCP41,OUT017,1442.59
FDS08,OUT049,2764.2
FDX47,OUT045,1696.46
FDC53,OUT019,162.722
FDQ19,OUT035,3960.51
FDL14,OUT045,2687.04
FDM33,OUT019,640.233
FDA51,OUT045,1851.12
FDZ27,OUT018,435.7
FDT04,OUT046,674.322
DRC13,OUT049,2198.41
FDR16,OUT027,5284.32
FDQ03,OUT027,6710.27
FDE38,OUT035,2805.35
DRH23,OUT027,1670.36
FDT11,OUT019,689.17
FDD09,OUT035,3015.28
FDR40,OUT045,1177.53
FDX07,OUT017,3497.31
FDR07,OUT035,1616.96
FDA51,OUT017,2044.8
FDT59,OUT019,538.299
FDF20,OUT017,2367.32
FDR13,OUT045,1958.98
FDY26,OUT049,4959.14
FDW04,OUT017,1628.01
FDK52,OUT017,4429.97
FDN60,OUT049,3744.66
FDM09,OUT019,274.221
FDP46,OUT049,1194.31
FDB50,OUT019,202.803
NCQ29,OUT049,3504.11
FDP16,OUT027,6254.06
FDX33,OUT018,2380.1
FDP07,OUT010,571.989
FDN22,OUT046,4674.32
FDF39,OUT049,4533.3
FDS21,OUT017,709.876
NCM42,OUT013,2054.53
FDK50,OUT019,409.001
DRF13,OUT027,3127.13
FDH35,OUT018,2129.96
FDP60,OUT018,1343.52
DRJ49,OUT027,3241.91
NCT42,OUT019,359.266
FDE38,OUT049,2881.38
FDI04,OUT049,3494.85
NCH54,OUT045,1698.59
FDT56,OUT049,712.007
DRD15,OUT018,1727.68
FDV58,OUT013,2819.13
FDP21,OUT049,3146.17
FDH05,OUT013,3760.97
FDR10,OUT027,5259.02
NCP06,OUT045,2380.63
FDF33,OUT049,1689.13
DRK37,OUT013,3541.06
DRH49,OUT045,928.525
FDT58,OUT013,2756.28
FDD41,OUT018,1569.76
FDP40,OUT018,1929.29
FDM51,OUT027,2649.88
FDO45,OUT010,253.603
FDW33,OUT010,182.562
FDY24,OUT045,1219.79
FDB10,OUT010,585.305
FDM40,OUT035,1946.6
NCI06,OUT017,3929.15
FDW12,OUT019,311.927
FDX48,OUT027,3960.64
NCW05,OUT027,2157.06
FDX27,OUT017,1504.31
DRM37,OUT045,3916.3
FDA38,OUT045,3690.33
FDR36,OUT046,649.155
FDZ45,OUT046,2951.82
FDG05,OUT017,2693.03
FDK28,OUT013,5454.23
FDV47,OUT045,1263.69
FDN21,OUT045,1638.93
FDP20,OUT027,4077.23
FDI35,OUT045,2677.12
DRY23,OUT013,574.785
FDA56,OUT017,2224.3
FDB09,OUT013,1655.38
NCO26,OUT027,3288.99
FDQ49,OUT018,1795.46
FDI52,OUT027,3126.93
FDZ44,OUT027,2783.58
FDZ09,OUT018,2594.42
FDY03,OUT049,2724.85
NCG42,OUT017,1799.72
DRI13,OUT027,7826.41
FDQ32,OUT013,2437.83
FDW16,OUT035,1361.69
FDU27,OUT046,802.089
FDR28,OUT010,395.219
FDQ49,OUT010,314.737
FDS37,OUT046,2079.23
FDW26,OUT018,2147.07
FDX12,OUT018,3339.12
NCP06,OUT013,2624.05
FDW45,OUT010,234.018
NCN30,OUT049,1481.14
FDN24,OUT049,1065.61
NCL41,OUT027,961.482
FDR02,OUT019,337.694
FDD09,OUT010,484.614
FDS33,OUT010,197.809
FDU22,OUT045,1997.13
FDI53,OUT013,2585.43
DRH01,OUT049,2944.1
FDX32,OUT013,2102.13
NCP30,OUT018,412.463
FDB60,OUT045,2853.89
FDB14,OUT049,1479.54
NCP02,OUT035,587.236
FDJ10,OUT017,2235.69
FDG34,OUT046,1072.6
NCB18,OUT017,1341.25
FDM16,OUT049,1238.39
FDW25,OUT018,1318.02
FDB35,OUT010,185.359
DRN11,OUT013,1813.91
FDF41,OUT019,397.816
FDH16,OUT045,1223.47
NCQ50,OUT018,2908.61
DRH23,OUT018,676.919
DRJ37,OUT013,2020.5
DRJ24,OUT027,5680.54
FDY16,OUT035,3363.56
FDQ27,OUT045,1606.91
FDZ33,OUT045,1578.41
FDF29,OUT045,2278.63
FDA08,OUT049,2989.77
FDG31,OUT046,1340.19
FDE34,OUT019,412.397
NCR30,OUT027,1746.26
FDV33,OUT035,3884.48
DRZ24,OUT018,1590.6
NCL54,OUT035,2948.96
FDR12,OUT049,2287.42
NCC54,OUT046,4749.68
DRN59,OUT013,846.298
FDX50,OUT019,172.642
FDV31,OUT027,4826.52
NCA29,OUT027,4371.38
FDW60,OUT049,3073.53
FDX08,OUT017,3990.54
DRD49,OUT013,3620.75
FDD33,OUT046,3232.13
FDW35,OUT013,767.468
FDJ36,OUT017,2021.5
FDV51,OUT035,4547.95
FDW36,OUT046,1536
FDH35,OUT046,1727.75
NCS30,OUT027,3099.96
FDN49,OUT017,459.868
FDL08,OUT018,2082.02
FDI09,OUT013,3622.48
FDP19,OUT018,2049.07
FDU21,OUT010,111.322
NCP41,OUT045,1212.02
FDY10,OUT013,1644.79
FDP12,OUT018,498.152
NCN26,OUT049,1711.37
FDK44,OUT013,2636.17
FDC28,OUT049,1473.28
FDJ41,OUT027,6541.62
NCT29,OUT035,1530.94
NCH42,OUT019,549.085
FDU60,OUT018,2582.04
FDS02,OUT045,3505.44
FDC51,OUT046,1963.71
FDU03,OUT013,4223.7
FDX39,OUT045,3962.58
NCY05,OUT010,117.913
NCL06,OUT027,6900.68
FDD32,OUT035,999.699
NCN41,OUT045,1910.65
NCX53,OUT049,3328.87
FDU57,OUT019,286.76
FDQ23,OUT046,2042.54
FDQ52,OUT045,5325.33
FDC14,OUT045,605.146
FDY09,OUT035,2612.87
FDQ28,OUT045,2598.75
FDV25,OUT046,3895.93
FDJ07,OUT035,2161.25
DRB25,OUT049,1659.37
FDK52,OUT019,616.597
FDY52,OUT027,1417.29
FDB28,OUT046,2764.67
FDT36,OUT035,786.576
FDV25,OUT017,3870.36
NCN07,OUT027,3450.84
FDC57,OUT017,2687.17
FDQ03,OUT018,2191.48
FDU23,OUT017,3416.69
NCX41,OUT035,3803.72
NCD06,OUT035,844.434
FDW08,OUT045,1374.41
NCU29,OUT017,2659.6
NCE06,OUT013,1759.11
FDV52,OUT010,306.734
FDB02,OUT017,2917.67
NCR18,OUT045,724.657
FDK16,OUT049,1908.98
NCQ29,OUT010,679.294
FDZ01,OUT019,154.865
FDW27,OUT035,1952.46
FDD17,OUT018,2795.83
FDW39,OUT013,2437.29
DRH59,OUT045,1109.69
FDS52,OUT013,1264.02
FDU40,OUT027,4636.1
NCF54,OUT013,2667.19
FDH46,OUT045,1235.79
NCP14,OUT049,1929.62
FDH50,OUT049,3654.18
DRF15,OUT010,291.021
FDV27,OUT027,2336.29
NCJ06,OUT049,2036.68
FDN02,OUT018,3010.35
FDQ51,OUT049,861.545
FDQ07,OUT017,3870.56
FDS45,OUT049,2222.04
NCJ06,OUT045,1519.62
FDD36,OUT035,2240.22
FDY25,OUT045,3075.6
FDU52,OUT046,2336.03
DRK47,OUT017,3375.21
NCL30,OUT017,2027.69
FDN22,OUT035,3946.73
NCF30,OUT027,3638.86
FDK03,OUT035,5306.16
FDT45,OUT017,995.438
NCC54,OUT027,5533.06
FDP08,OUT018,3865.63
FDU44,OUT046,2675.05
DRG39,OUT035,640.5
FDU32,OUT049,2051.6
FDY27,OUT049,3021.33
NCP54,OUT013,2420.72
NCZ41,OUT049,1996.87
DRL49,OUT013,1940.74
FDI05,OUT018,1598.45
FDY56,OUT045,5255.63
DRC13,OUT013,2293.88
NCV29,OUT017,2962.88
FDR24,OUT049,1304.04
FDZ34,OUT018,2525.25
FDP37,OUT035,2258.99
FDX08,OUT027,4669.39
FDS57,OUT045,1891.94
NCG18,OUT049,2019.44
FDK25,OUT018,2307.6
FDH53,OUT049,1401.84
DRI59,OUT018,3079.59
FDA52,OUT046,1913.38
FDT20,OUT010,66.2554
FDE36,OUT019,478.111
FDI24,OUT017,2955.15
FDB28,OUT018,2415.92
FDV11,OUT017,3057.29
FDP01,OUT046,1895.27
FDD34,OUT027,4401.6
FDJ50,OUT027,1455.11
FDZ44,OUT013,1517.29
DRO59,OUT035,1783.48
DRB48,OUT045,572.455
FDR21,OUT018,1675.95
NCE42,OUT010,421.052
FDO23,OUT046,1425.01
NCE30,OUT018,3368.22
FDQ22,OUT035,543.493
FDY01,OUT045,1834.55
FDS08,OUT017,2435.9
FDG28,OUT018,2593.82
FDQ51,OUT018,750.223
FDB05,OUT017,3854.85
FDO56,OUT049,2062.65
FDE02,OUT018,1222.81
FDN45,OUT017,4562.86
FDS09,OUT013,741.035
NCA54,OUT018,2799.76
FDP09,OUT010,575.917
FDC53,OUT045,1295.65
NCM55,OUT017,3440.92
FDL09,OUT018,1936.35
FDA11,OUT019,281.5
FDA50,OUT045,1902.39
FDC23,OUT017,3446.11
FDE22,OUT049,2036.82
FDD23,OUT046,3238.05
NCA29,OUT049,2827.59
FDK38,OUT046,2196.74
DRC13,OUT046,2727.65
NCP43,OUT049,2947.36
FDX28,OUT049,1314.02
FDF08,OUT049,1581.21
FDZ33,OUT046,2077.83
FDD10,OUT049,2690.9
FDO58,OUT017,2419.38
FDI50,OUT017,3896.73
FDO58,OUT045,1792.93
FDX08,OUT013,4296.87
NCK17,OUT010,63.8978
FDF39,OUT035,4903.08
FDU45,OUT010,290.986
NCJ18,OUT018,1777.55
DRC27,OUT019,548.575
DRC25,OUT035,1500.58
FDU59,OUT035,1483.4
FDU28,OUT035,2418.65
NCP30,OUT046,784.179
FDB39,OUT018,906.886
FDE41,OUT013,1526.35
DRH11,OUT010,152.402
FDA58,OUT045,2719.99
FDU50,OUT046,1216.02
FDM34,OUT013,1745.53
FDM44,OUT027,2659.54
FDR39,OUT045,2848.43
FDM25,OUT045,2711.4
FDQ49,OUT049,1302.3
DRH25,OUT018,1016.08
FDM09,OUT027,4338.55
FDL44,OUT019,538.965
NCR42,OUT018,343.286
DRL59,OUT046,878.923
FDX43,OUT013,2838.11
DRK47,OUT010,438.962
FDU48,OUT018,1410.16
FDY12,OUT045,845.366
NCN43,OUT018,1600.92
NCM55,OUT018,3492.52
FDQ21,OUT027,3796.19
FDX13,OUT035,4101
NCK30,OUT027,5411.42
FDG20,OUT049,2406.93
DRG27,OUT017,864.009
FDY14,OUT018,4162.25
FDP59,OUT035,1558.44
FDU60,OUT017,4086.21
NCC18,OUT019,466.127
DRJ39,OUT017,4736.83
FDS07,OUT049,2225.44
FDM08,OUT027,5294.11
FDP51,OUT045,1980.82
FDU16,OUT035,1782.28
FDH12,OUT013,1839.94
DRE48,OUT010,410.199
NCL42,OUT027,8451.27
FDR21,OUT045,2547.75
NCW29,OUT035,3530.4
FDO11,OUT013,5188.45
NCM31,OUT049,2186.22
FDV35,OUT019,307.134
FDF58,OUT017,891.706
NCE43,OUT049,2906.08
FDA02,OUT035,2437.96
DRL37,OUT010,135.224
FDR24,OUT018,1496.45
FDW59,OUT049,1375.08
FDS22,OUT049,740.436
FDW24,OUT017,803.687
FDU24,OUT035,1699.19
FDA21,OUT027,5544.92
FDH58,OUT027,2343.28
FDW36,OUT018,1694.93
FDI45,OUT027,5312.82
FDU01,OUT018,3065.74
FDF35,OUT027,2779.91
FDU43,OUT019,541.983
FDE24,OUT019,335.308
FDK50,OUT049,3210.09
FDG31,OUT045,932.187
FDC60,OUT045,1920.9
FDL36,OUT013,1673.42
FDP21,OUT013,3329.73
FDW16,OUT045,1285.33
FDX02,OUT017,3766.56
FDQ58,OUT027,4132.89
FDT51,OUT046,1412.56
FDD59,OUT049,1382.93
NCM42,OUT018,1903.59
FDA57,OUT018,534.504
FDZ48,OUT035,1930.89
FDE46,OUT045,2139.15
NCZ30,OUT019,681.579
FDB56,OUT017,3466.15
FDA25,OUT027,2987.64
FDD20,OUT013,1563.96
FDL25,OUT013,1086.25
NCO18,OUT049,2881.12
FDJ45,OUT017,607.875
FDR12,OUT035,2895.9
NCF19,OUT010,108.581
FDK25,OUT046,3309.63
NCR17,OUT046,1984.62
FDC52,OUT046,2009.38
NCA54,OUT017,3320.21
FDR45,OUT010,533.572
NCM19,OUT049,2055.26
FDF39,OUT027,6122.76
FDX23,OUT049,1004.49
FDD58,OUT027,3650.25
FDX28,OUT013,2134.89
NCD31,OUT013,2812.27
FDU57,OUT018,2324.64
FDI27,OUT046,817.869
NCM42,OUT046,2298.08
FDD32,OUT027,1953.52
FDI34,OUT013,4067.9
NCM29,OUT049,1653.51
FDG46,OUT018,1740.27
DRC01,OUT010,83.9241
FDB15,OUT027,4947.83
NCA17,OUT027,3559.03
FDF10,OUT046,1951.33
FDR26,OUT027,5919.96
FDI02,OUT049,2289.62
NCM54,OUT010,342.155
